A,128,10,46,50
A,148,6,53,49
A,152,7,45,46
A,153,10,43,44
A,155,1,44,49
A,156,4,40,51
A,159,5,49,45
A,160,5,51,52
A,163,5,43,50
A,164,1,33,50
A,166,1,36,52
A,167,8,45,50
A,170,9,41,45
A,171,5,38,55
A,173,5,41,50
A,175,8,42,54
A,177,3,39,48
A,178,5,46,50
A,181,10,44,55
A,182,2,32,54
A,184,2,42,46
A,185,7,41,49
C,187,10,45,38
A,190,10,49,53
A,191,3,41,48
A,193,5,44,54
A,194,7,36,51
A,197,9,45,50
A,198,8,50,47
A,200,1,48,49
A,201,5,48,53
A,203,10,46,43
A,204,5,43,55
A,207,5,44,47
A,208,7,50,53
A,210,3,42,47
B,212,8,39,58
A,213,3,46,52
A,215,2,41,50
A,216,2,41,46
A,218,8,41,53
A,219,7,41,53
B,221,6,42,57
A,223,8,50,44
C,224,2,51,39
A,225,9,48,51
A,227,5,41,50
A,228,4,47,44
A,230,7,36,54
A,232,8,44,46
A,233,7,35,42
A,235,2,42,51
A,237,10,51,51
A,238,10,45,44
A,240,5,49,51
A,241,8,47,47
A,243,10,40,46
A,244,8,42,49
A,246,7,41,45
A,247,8,45,45
A,249,8,47,50
A,251,1,49,49
B,253,6,28,57
A,255,5,45,48
A,256,8,41,53
A,258,9,50,43
A,259,3,36,52
A,261,7,42,46
C,264,10,47,37
A,265,1,48,52
A,267,7,44,56
A,268,1,47,49
A,270,2,55,51
A,271,2,50,46
A,273,8,44,50
A,274,1,39,52
A,276,8,43,42
A,277,2,52,45
A,279,4,54,49
A,281,6,58,53
A,283,5,43,52
A,284,3,50,56
B,285,5,31,51
A,289,8,45,46
A,291,4,44,52
B,292,2,39,53
A,294,6,42,49
A,296,9,47,48
A,298,3,44,47
A,299,5,54,51
A,301,4,50,52
A,303,6,31,51
A,305,10,54,46
A,307,2,43,50
A,309,7,45,52
A,310,7,40,58
A,312,6,42,49
A,313,1,45,52
A,315,9,48,50
A,316,7,53,52
A,318,7,47,52
B,319,6,32,50
A,320,7,44,46
A,323,2,39,46
A,324,6,46,47
A,326,5,45,46
A,327,8,48,55
A,329,6,52,49
A,330,10,49,51
A,332,10,39,47
A,333,2,45,47
A,335,8,52,44
A,337,4,43,48
B,338,9,34,53
A,341,7,44,49
A,342,1,41,52
A,344,6,45,54
A,345,3,45,50
A,347,9,47,54
A,348,2,33,48
A,350,5,46,46
B,351,7,39,57
A,353,9,48,48
A,354,7,49,49
C,356,1,50,39
C,358,4,47,42
A,359,8,46,47
A,361,2,29,47
C,362,1,54,40
A,363,5,44,53
A,365,6,44,47
A,366,4,45,44
A,368,9,54,52
A,369,4,41,51
A,371,4,51,45
A,373,2,51,45
A,375,7,38,54
A,377,8,40,48
A,378,4,47,49
B,380,4,42,53
A,382,6,31,53
A,383,9,38,54
C,386,7,52,43
A,387,7,53,48
A,389,4,49,51
A,390,6,46,49
A,393,7,47,51
A,394,7,45,46
A,396,7,50,46
A,397,1,54,45
A,399,5,40,52
A,401,3,44,49
