A,14840,10,47,51
A,14880,6,61,46
A,14884,7,46,37
A,14886,10,41,31
A,14888,1,43,47
A,14890,4,36,53
A,14893,5,53,36
A,14894,5,58,58
A,14897,5,42,53
A,14898,1,22,50
A,14901,1,27,57
A,14902,8,45,50
A,14905,9,38,33
A,14907,5,32,66
A,14909,5,37,51
A,14910,8,40,64
A,14913,3,34,45
A,14914,5,48,52
A,14917,10,44,66
A,14919,2,20,66
A,14921,2,40,39
A,14922,7,38,48
C,14925,10,36,29
A,14928,10,53,61
A,14929,3,37,44
A,14931,5,43,64
A,14933,7,28,55
A,14935,9,46,51
A,14936,8,56,40
A,14939,1,51,49
A,14940,5,52,60
A,14942,10,48,28
A,14943,5,42,68
A,14946,5,44,42
A,14947,7,55,60
A,14949,3,39,42
B,14952,8,38,65
A,14953,3,47,56
A,14955,2,38,52
A,14957,2,37,39
A,14959,8,37,60
A,14960,7,38,60
B,14961,6,45,62
A,14964,8,55,30
C,14965,2,56,32
A,14966,9,52,56
A,14968,5,38,51
A,14970,4,49,30
A,14972,7,27,64
A,14973,8,43,38
A,14975,7,25,24
A,14977,2,40,54
A,14979,10,57,53
A,14980,10,46,32
A,14982,5,54,54
A,14983,8,50,41
A,14986,10,36,37
A,14987,8,39,49
A,14989,7,38,34
A,14990,8,46,35
A,14993,8,50,50
A,14994,1,54,47
B,14996,6,17,64
A,14998,5,45,46
A,15000,8,38,60
A,15002,9,56,29
A,15003,3,28,57
A,15005,7,39,39
C,15008,10,42,23
A,15009,1,52,58
A,15011,7,43,70
A,15013,1,50,49
A,15015,2,65,56
A,15016,2,55,38
A,15018,8,44,51
A,15019,1,34,57
A,15022,8,41,25
A,15023,2,59,35
A,15025,4,63,47
A,15026,6,72,61
A,15029,5,41,58
A,15030,3,56,72
B,15031,5,22,44
A,15033,8,45,38
A,15035,4,43,57
B,15037,2,39,49
A,15039,6,39,48
A,15040,9,49,46
A,15043,3,44,40
A,15045,5,64,56
A,15047,4,56,56
A,15048,6,18,55
A,15051,10,64,37
A,15052,2,41,51
A,15054,7,45,57
